,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAP,FRI_MAP
12,RAD,0.00134440388526,0.194979175925,0.00020102121965,0.00020102121965,0.00020102121965,0.00020102121965,0.0,0.0
11,ZN,0.012202773585,11.5619049072,-0.00121376491654,0.000497148409927,0.00161580735584,0.000497148409927,0.0,0.0
10,PTRATIO,0.0357245303129,0.176661983132,0.00166989226959,-0.00268199043256,0.00377324721297,0.00456362553819,0.0,0.0
9,TAX,0.0417549953618,0.186899617314,0.00148546676338,-0.00613043996079,0.00620319599221,0.0092354544489,0.0,0.0
8,INDUS,0.0527462218875,0.197875842452,-0.007910607252,0.01034314158,0.0139760366853,0.0179832331525,0.0,0.0
7,DIS,0.0638143314959,0.166631743312,0.00903951773672,-0.00453329824463,0.0139460190746,0.0068421201609,0.00288261361495,0.0
6,NOX,0.0750233622448,0.161039322615,-0.00761201891265,0.0286429541187,0.00823560551212,0.0297136688607,0.0,0.0
5,LSTAT,0.0773734828264,0.153580784798,0.00565443903267,-0.00456991142818,0.0130589471855,0.0103143950264,5.27552107072e-06,0.0
4,AGE,0.0867734369296,0.169456079602,0.00136905374892,-0.00942195710447,0.0102701237679,0.0121653770038,0.000738473531918,0.000973518491278
3,CRIM,0.112885706071,0.290263622999,0.0176314048214,0.0109159116207,0.0256850143289,0.0158218022283,0.0,0.0
2,RM,0.127802588158,0.154306009412,-0.00483963842726,0.00164391410906,0.00749777949981,0.00826554316379,0.000412470614975,0.000314799669884
1,MEDV,0.132386811651,0.141650304198,-0.0184611523622,0.00905619529604,0.0257457854439,0.0160618393827,0.00155700087296,0.0021997692069
0,B,0.180167355591,0.145881548524,-0.0138312563346,-0.0235120957383,0.0210922433321,0.0269644225041,0.00440127127876,0.0042126000247
